기업명,모집내용,조건
㈜연합시스템,"빅데이터 분석, AI (머신러닝,딥러닝) 가능한 팀원을 충원합니다",경력1년↑ 학력무관 경기 김포시 정규직
㈜아이스크림아트,AI기반연구팀 - AI연구원 경력직 채용,경력2년↑ 대졸↑ 서울 강남구 정규직 사원급 외
콘센트릭스서비스코리아(유),Data분석 컨설턴트,경력3년↑ 학력무관 서울 강남구 정규직 사원급 외
㈜트인시스템즈,[모집] 웹/모바일 퍼블리셔 및 JAVA SM 운영자,경력무관 학력무관 서울 중구 외 정규직 외
㈜리코,[리코] 데이터분석 인턴 채용 (3개월),신입 대졸↑ 서울 강남구 인턴 210만원 이상(월) 팀원
엘지에너지솔루션,[LG에너지솔루션] 2024년 3월 경력사원 모집 (CSO),경력 대졸↑ 서울 영등포구 정규직
엘지에너지솔루션,[LG에너지솔루션] 2024년 상반기 R&D 산학장학생 상시 모집,신입 석사↑ 서울 영등포구 외 정규직
엘지에너지솔루션,[LG에너지솔루션] 2024년 3월 R&D(CTO) 경력사원 모집 (Pack선행개발),경력 대졸↑ 서울 영등포구 외 정규직
엘지에너지솔루션,[LG에너지솔루션]2024년 3월 R&D(CTO) 경력사원 모집 (Cell선행개발),경력 대졸↑ 서울 영등포구 외 정규직
엘지에너지솔루션,[LG에너지솔루션]2024년 3월 경력사원 모집 (CDO),경력 대졸↑ 서울 영등포구 외 정규직
㈜브릭,데이터 분석가(경력 5년 이상) 채용,경력5년↑ 대졸↑ 경기 성남시 정규직 팀원
㈜리본즈,럭셔리 쇼핑몰 (주)리본즈 CRM Marketer 인턴 모집,경력무관 학력무관 서울 성동구 인턴 사원급 외
㈜임프리메드코리아,데이터 사이언티스트 채용,"경력 대졸↑ 서울 마포구 정규직 5,000만원 이상"
㈜디파인,[AI 기술 개발] 부문 신입/경력 채용 (전문연구요원 채용 가능),신입·경력1년↑ 석사↑ 경기 성남시 정규직 외
㈜씨와이디정보기술,AI 분야 연구개발 인력 모집,경력무관 석사↑ 경기 성남시 정규직 사원급 외
이투이솔루션즈㈜,이투이솔루션즈㈜ Oracle DBA채용,경력3년↑ 초대졸↑ 서울 서초구 정규직
미스터픽,[첫차]와 함께 할 데이터 분석 매니저를 찾습니다.,경력무관 학력무관 서울 강남구 정규직 외
충북대학교병원,파이썬 Python 프로그램 개발자 모집,"경력무관 학력무관 충북 청주시 계약직 외 3,000만원 이상"
㈜핀샷,[핀테크] 금융마케팅 팀원 모집,"신입 대졸↑ 서울 마포구 정규직 외 3,500만원 이상"
㈜지뉴소프트,[지뉴소프트/연구소]AI 연구원 및 개발자 채용,신입·경력 학력무관 서울 강남구 정규직 외
대한무역투자진흥공사,2024년 대한무역투자진흥공사 채용,신입·경력 학력무관 서울 서초구 외 정규직
코데이터솔루션㈜,데이터플랫폼 프로젝트 관리 및 수행 경력사원 채용,경력5년↑ 대졸↑ 서울 영등포구 정규직
㈜하이,(주) 하이 - 데이터 사이언티스트,"경력2년↑ 대졸↑ 서울 종로구 정규직 3,000만원 이상"
㈜에스씨에스엠,인공지능(AI) / 펌웨어 개발자 채용,경력3년↑ 초대졸↑ 세종 전지역 정규직 외
(주)스톤인테그리티,"인공지능 빅데이터 개발자 / 정규직 / 경력 - 대리, 과장","경력2년↑ 학력무관 서울 강남구 정규직 3,000~5,000만원 주임~대리급 외"
㈜마크로밀엠브레인,패널빅데이터센터 데이터사이언스팀 데이터 분석가(신입 및 경력),신입·경력2년↑ 대졸↑ 서울 강남구 정규직
유플러스홈서비스,유플러스홈서비스 HB인프라팀 사무직 채용(정규직),경력무관 대졸↑ 서울 마포구 정규직 팀원
넛지헬스케어㈜,[캐시워크] 데이터분석가 - 석사/박사,경력무관 석사↑ 서울 강남구 정규직
㈜솔로몬텍,BI 엔지니어 (Tableau) 경력 채용,경력3년↑ 대졸↑ 서울 영등포구 정규직 주임~대리급 외
㈜허니냅스,앱개발/모바일 어플리케이션 개발/관리자 채용 (경력),경력8년↑ 대졸↑ 서울 강남구 정규직
네이버웹툰(유),[네이버웹툰] [경력] Data Scientist,경력3년↑ 학력무관 경기 성남시 정규직
EXTA TECHNOLOGY LTD,Database administrator,"경력 대졸↑ 유럽 사이프러스 정규직 6,000만원 이상 과장~차장급 외"
㈜큐로드,[큐로드 수원] 앱스토어 데이터 분석 담당자 채용,"경력무관 학력무관 경기 수원시 외 정규직 2,750만원 이상"
㈜리팅랩스,[데이터분석가] 데이터로 소통하고 싶은 경력직 채용,경력3년↑ 초대졸↑ 서울 강남구 정규직
팡고지와이㈜,"플랫폼 UI,UX 기획(경력)","경력3년↑ 학력무관 서울 강남구 정규직 4,000~7,000만원 사원급 외"
㈜기어세컨드,데이터 분석가,"경력무관 학력무관 서울 마포구 정규직 외 4,000~8,000만원 사원급 외"
㈜기어세컨드,데이터 분석가 채용,"경력무관 학력무관 서울 마포구 정규직 외 4,000~8,000만원 사원급 외"
넥스트리서치㈜,[마케팅 리서치] 정규직/계약직 공개채용,"신입·경력 대졸↑ 서울 종로구 정규직 외 3,500만원 이상"
안진회계법인,[안진회계법인] 재무자문본부 금융기관 데이터 분석 전문가,경력5년↑ 대졸↑ 서울 영등포구 정규직
안진회계법인,[안진회계법인] 재무자문본부 Crisis Management - IT 및 정보보호 관련 (사고분석),경력5년↑ 대졸↑ 서울 영등포구 정규직
㈜미리디,[미리디] 데이터 챕터 리드,경력5년↑ 대졸↑ 서울 구로구 정규직
㈜팀벨,자사 솔루션 개발자 모집(경력),경력5년↑ 학력무관 서울 강남구 정규직
㈜이빗,(주) 이빗 - 파트타임 AI Trainer 모집 (모집분야: 데이터애널리틱스),"경력무관 학력무관 서울 강남구 계약직 외 35,000원(시)"
㈜알에스엔,[신입/경력] 데이터 분류 패턴 관리,경력무관 대졸↑ 경기 고양시 정규직 사원급 외
나이스지니데이타㈜,NICE지니데이타 (주) 데이터 컨설턴트/ 데이터 분석가 채용,경력2년↑ 대졸↑ 서울 영등포구 정규직 사원급
㈜알에스엔,[신입/경력] 인공지능 딥러닝 개발자 모집,신입·경력1년↑ 대졸↑ 경기 고양시 정규직 주임~대리급 외
인튜브,"Python, Elastic 개발 경력직원을 모집합니다.",경력2년↑ 학력무관 서울 광진구 정규직 사원급 외
